Date,Close,High,Low,Open,Volume,Return,MA_5,MA_10,Volatility,Target
2024-04-26,167.77310180664062,169.79469657988224,167.6541737932701,168.34787265422193,44838400,-0.00347296963057131,166.67312622070312,166.7880828857422,1.7162545035902101,1
2024-04-29,171.9352264404297,174.4424074952563,171.5388400360099,171.80639405446584,68169400,0.024808056768157893,168.1913055419922,166.86835021972655,2.3729824029097926,0
2024-04-30,168.79383850097656,173.41181476528868,168.46681287321124,171.76678225756265,65934800,-0.01827076396436722,168.87112121582032,166.96249237060547,1.7857641866832985,0
2024-05-01,167.77310180664062,171.1523509575647,167.5848129798778,168.05057530255277,50383100,-0.006047239066312438,168.9266143798828,167.09131927490233,1.7359510701527865,1
2024-05-02,171.469482421875,171.8559644998941,169.34878317714927,170.95416794412498,94214900,0.022032021673500823,169.5489501953125,167.68491973876954,2.0161985902494455,1
2024-05-03,181.7261505126953,185.313497878847,181.01264278710423,184.9666483851495,163224100,0.05981628885765988,172.33955993652344,169.50634307861327,5.532930585429119,0
2024-05-06,180.07119750976562,182.53873097916653,178.79282331517493,180.7054248623681,78569700,-0.009106851150814776,173.9667541503906,171.07902984619142,6.4967147927318,1
2024-05-07,180.7549743652344,183.23242749590466,179.68472791941784,181.79550770435065,77305800,0.0037972583340637467,176.35898132324218,172.61505126953125,6.315384697882912,1
2024-05-08,181.09190368652344,181.41892928578648,179.81352951475225,181.20091221961113,45057100,0.001864011336187188,179.02274169921876,173.97467803955078,4.264430379580299,1
2024-05-09,182.90541076660156,182.99459544718977,180.4675903156434,180.91352883975787,48983000,0.01001429132479248,181.30992736816407,175.42943878173827,1.0734020453721416,0
2024-05-10,181.64515686035156,183.66949389545601,180.7322193628195,183.48094965782863,50759500,-0.0068901947786452755,181.29372863769532,176.81664428710937,1.066137059209697,1
2024-05-13,184.850341796875,185.66405574980115,183.20307828852305,184.0167922414492,72044800,0.017645309084610483,182.2495574951172,178.1081558227539,1.668342268388878,1
2024-05-14,185.9915313720703,186.8548647149755,184.8602810891409,186.07091921634225,52393600,0.006173586503017248,183.29686889648437,179.8279251098633,2.0867287560001753,1
2024-05-15,188.2639617919922,189.1868170758504,185.93199122253947,186.46785537715886,70400000,0.012217924134276581,184.7312805175781,181.87701110839845,2.5951976979747418,1
2024-05-16,188.3830413818359,189.6333810173086,188.2044300863017,189.00821119957226,52845200,0.0006325139910487998,185.826806640625,183.56836700439453,2.7812260784182974,1
2024-05-17,188.41278076171875,189.34556887180875,187.72807395147478,188.05554308427324,41282900,0.0001578665450174821,187.18033142089843,184.23703002929688,1.6569395442448898,1
2024-05-20,189.57383728027344,190.44708847543168,187.55941793463836,187.8769693298537,44361300,0.006162302333529324,188.12503051757812,185.18729400634766,1.305711620879386,1
2024-05-21,190.873779296875,191.25085261805762,189.4547462309282,189.62343971650407,42309400,0.0068571804804460346,189.10148010253906,186.1991744995117,1.1242846209422424,0
2024-05-22,189.4348907470703,191.34016861791716,188.80973611420333,190.79438668312676,34648500,-0.007538429610945752,189.33566589355468,187.0334732055664,1.0236667486743714,0
2024-05-23,185.4457550048828,189.5341303535584,185.1976736824305,189.5142796080912,51005900,-0.02105808347372351,188.74820861816406,187.28750762939453,2.042667218295739,1
2024-05-24,188.52195739746097,189.11735863774422,186.59684388111853,187.37087155015982,36327000,0.016588152112175125,188.7700439453125,187.97518768310547,2.0387650256486123,1
2024-05-28,188.53192138671875,191.51881559867596,187.6487523245995,190.04024519822877,52280100,5.2853202859415305e-05,188.56166076660156,188.34334564208984,1.9887026047757417,1
2024-05-29,188.82957458496097,190.7745388343773,188.05556206266323,188.15480064928906,53068000,0.0015787946998728764,188.15281982421874,188.6271499633789,1.558034285258135,1
2024-05-30,189.82191467285156,190.70508365256933,189.16699143181853,189.29598343446253,49889100,0.005255215397649948,188.230224609375,188.78294525146484,1.6448478345157767,1
2024-05-31,190.77456665039065,191.09211806054816,188.45252874493116,189.9707854632458,75158300,0.005018661723968698,189.29598693847657,189.0220977783203,0.9827584046350458,1
2024-06-03,192.5408935546875,193.49353258818425,191.04248767189634,191.41956102246726,50080500,0.009258712706362804,190.0997741699219,189.43490905761718,1.6250526128340463,1
2024-06-04,192.8584442138672,193.82100104656786,191.548567440495,193.1462119125533,47471400,0.0016492634542049078,190.9650787353516,189.76336975097655,1.7299943702734146,1
2024-06-05,194.3667755126953,195.38886948576234,193.37445009094603,193.9003813531384,54156800,0.007820924331192192,192.07251892089843,190.1126693725586,1.7923843233627013,0
2024-06-06,192.98741149902344,194.99191275531385,192.67979309240934,194.1881317208236,41181800,-0.007096706780433171,192.70561828613282,190.4679214477539,1.2863029549280034,1
2024-06-07,195.37893676757812,195.42855606321456,192.65004206608782,193.1561225415401,53103900,0.012392130916615729,193.62649230957032,191.46123962402345,1.2037366422468216,0
2024-06-10,191.6378631591797,195.7857909182053,190.6753063763642,195.3888517006261,97010200,-0.019147783636722315,193.44588623046874,191.7728302001953,1.4499100039044328,1
2024-06-11,205.56019592285156,205.57012886730556,192.14396771907968,192.1638033246204,172373300,0.07264917555518546,195.98623657226562,193.47565765380858,5.535193492156402,1
2024-06-12,211.4347686767578,218.51003809526938,205.3121079690946,205.77850209290926,198134300,0.028578357437015756,199.39983520507812,195.73617706298828,8.664939121436555,1
2024-06-13,212.5957946777344,215.08652592836702,209.9760562824749,213.09195736730385,97862700,0.005491178240186079,203.3215118408203,198.01356506347656,9.439824023176898,0
2024-06-14,210.85922241210935,213.5186471242216,209.67835280423736,212.20878551515116,70122700,-0.008168422466951708,206.41756896972657,200.02203063964845,8.692609554808172,1
2024-06-17,215.0071258544922,217.2696263789355,211.08744385812574,211.73244926121387,93728300,0.01967143478446509,211.09142150878907,202.2686538696289,3.4771446380319317,0
2024-06-18,212.6453857421875,216.95208913019513,211.36529274424583,215.9200623200828,79943300,-0.010984473667644878,212.50845947265626,204.24734802246093,1.5923649657133256,0
2024-06-20,208.0707550048828,212.59577094768608,207.2471383568116,212.28813739547695,86172500,-0.02151295557784172,211.83565673828124,205.61774597167968,2.5699998130988027,0
2024-06-21,205.89759826660156,210.26382387597764,205.5205097773767,208.77533580800622,241805100,-0.010444316108865204,210.4960174560547,206.9087646484375,3.6100262412820205,1
2024-06-24,206.5426025390625,211.06760381745957,205.00449518251241,206.12582769938734,80727000,0.003132645926378297,209.6326934814453,208.02513122558594,3.996876533341249,1
2024-06-25,207.4654541015625,209.75772308170346,207.0089778092255,207.54482679949032,55549700,0.004468093028533682,208.12435913085938,209.6078903198242,2.6616314885126493,1
2024-06-26,211.6133728027344,213.21101716086312,209.02340313251779,209.87680350658064,66213200,0.019993298253603964,207.91795654296874,210.2132080078125,2.228096349090528,1
2024-06-27,212.4568634033203,214.0842763709762,210.7202940415425,213.04233172557286,49772700,0.003985998566225835,208.79517822265626,210.31541748046874,3.024416972894815,0
2024-06-28,209.00355529785156,214.41174043740799,208.68601906723538,214.1140398112984,82542700,-0.016254161198422268,209.41636962890624,209.95619354248046,2.564490675138049,1
2024-07-01,215.0865173339844,215.84067914098924,210.29358412725625,210.46227761796723,60402900,0.029104586414637756,211.12515258789062,210.37892303466796,2.9832361370514104,1
2024-07-02,218.5795135498047,218.6886699462021,213.44919320249295,214.4911227279333,58046200,0.016239958966820733,213.34796447753905,210.7361618041992,3.6424041598064676,1
2024-07-03,219.8497009277344,219.84970092773438,217.34903661716913,218.31159349071294,37369800,0.005811099847837786,214.99523010253907,211.45659332275392,4.437476215329667,1
2024-07-05,224.60292053222656,224.71207692855523,219.94891212590596,219.94891212590596,60412400,0.021620314171155286,217.4244415283203,213.10980987548828,5.812139231465074,1
2024-07-08,226.07156372070312,226.1013322692385,221.53662969916704,225.34715532852172,59085900,0.0065388427941917016,220.83804321289062,215.12720642089843,4.49226737802684,1
2024-07-09,226.92495727539065,227.63943274976205,224.63268810415036,226.180713251394,48076100,0.0037748823454055724,223.2057312011719,217.16544189453126,3.7637283909048387,1
2024-07-10,231.19195556640625,231.29119415797783,227.49058625437067,227.54020555015646,62627700,0.018803565470488337,225.72821960449218,219.53809204101563,4.099565731014294,0
2024-07-11,225.823486328125,230.60648662367137,224.03729767642758,229.61416127735984,64710600,-0.02322083060861191,226.9229766845703,220.9591033935547,2.5268868319181172,1
2024-07-12,228.77069091796875,230.8545803134063,226.92496506939614,227.1631286162611,53046500,0.013050921486357003,227.75653076171875,222.59048614501953,2.241537061142751,1
2024-07-15,232.60105895996097,235.409341553401,231.30111515749465,234.66509753137677,62631300,0.01674326386226488,229.06242980957032,224.95023651123046,2.8373152584909724,1
2024-07-16,233.01785278320312,234.4567215545301,230.54695713829173,233.19646408342908,43234300,0.001791882741659867,230.2810089111328,226.74337005615234,2.9938828649601628,0
2024-07-17,227.1234436035156,229.6836449661141,224.9006292447048,227.6890612108438,57345900,-0.025295955263872516,229.4673065185547,227.59776306152344,3.22812543828014,0
2024-07-18,222.45947265625,228.6714385621368,220.5641428905974,228.5126628842939,66034600,-0.02053496051868331,228.79450378417968,227.858740234375,4.337400363283695,1
2024-07-19,222.58848571777344,225.05938116686082,221.5663918696606,223.09458131167176,49151500,0.0005799396176884297,227.5580627441406,227.65729675292968,5.150784615137612,0
2024-07-22,222.24118041992188,226.03185518490554,221.37784711424985,225.2677604657143,48201800,-0.00156030217255676,225.4860870361328,227.27425842285157,4.676920427751898,1
2024-07-23,223.2831268310547,225.19832267550643,220.97100689389265,222.64803919770813,39960300,0.0046883588773425355,223.5391418457031,226.91007537841796,2.0412556964906203,0
2024-07-24,216.86276245117188,223.07472846403482,215.4635952984219,222.2808652028311,61777600,-0.028754364340036864,221.48700561523438,225.47715606689454,2.6142592861302547,0
2024-07-25,215.82083129882812,219.1550448561193,212.9728474396388,217.2497669876539,51391200,-0.00480456460374723,220.15927734375,224.47689056396484,3.5243060978020493,1
2024-07-26,216.28724670410156,217.80550332568987,214.35220009781358,217.02155779536062,41601300,0.0021611231986575774,218.89902954101564,223.22854614257812,3.5648765480899014,1
2024-07-29,216.56509399414065,217.61695646267233,214.0941983741811,215.29491873308154,36311800,0.0012846216976407643,217.76381225585936,221.62494964599608,3.1091425839566575,1
2024-07-30,217.1207733154297,218.63902977566391,214.4613337033208,217.50777956722112,41643800,0.002565876665719946,216.53134155273438,220.03524169921874,0.5056718199903293,1
2024-07-31,220.3756103515625,222.10226187087767,218.93674165630796,219.7405227481965,50036300,0.01499090569009831,217.2339111328125,219.36045837402344,1.818196817563745,0
2024-08-01,216.6841583251953,222.7571844619209,215.35444602521784,222.64802807062824,62501000,-0.01675072854241111,217.40657653808594,218.78292694091797,1.6866924357284407,1
2024-08-02,218.1726531982422,223.86860618805187,216.0391597412521,217.46809553371503,105568600,0.006869421763694206,217.78365783691407,218.34134368896486,1.581356074175986,0
2024-08-05,207.66395568847656,211.86148819381572,194.49579244022425,197.5620745135683,119548600,-0.04816688689309245,216.00343017578126,216.8836212158203,4.8754530363905095,0
2024-08-06,205.6395721435547,208.3783997216886,199.52685967053256,203.72439154098564,69660500,-0.009748362628508866,213.70718994140626,215.1192657470703,6.612066068764239,1
2024-08-07,208.2097015380859,212.00037630720823,204.80601788828693,205.31209833985366,63516400,0.0124982237987592,211.27400817871094,214.25395965576172,5.723424484460815,1
2024-08-08,211.6728973388672,212.55606620855394,207.22728444417172,211.47443531656216,47161100,0.01663321053340927,210.27175598144532,213.83916625976562,4.921818564749949,1
2024-08-09,214.5804443359375,215.11629337558463,210.3432107490655,210.47221789303094,42201600,0.013736038168436826,209.55331420898438,213.66848602294922,3.551655161362555,1
2024-08-12,216.11038208007812,218.07745621052726,214.19298467780987,214.65991863613397,38028100,0.007129902954928324,211.2425994873047,213.62301483154297,4.3478171888402235,1
2024-08-13,219.82598876953125,220.44193777769505,217.58072790378117,217.58072790378117,44155300,0.017193096665186314,214.0798828125,213.89353637695314,4.405786821005172,1
2024-08-14,220.27305603027344,221.57450454206742,218.2662343099079,219.13056699635618,41960600,0.002033732513815334,216.4925537109375,213.8832809448242,3.6206108613947503,1
2024-08-15,223.2534637451172,223.87935717471936,221.30624816369337,223.13425172393934,46414000,0.013530514210662759,218.8086669921875,214.54021148681642,3.4674992907756255,1
2024-08-16,224.57481384277344,225.34972239527664,222.19046700804645,222.4587092482856,44340200,0.0059186096174741465,220.8075408935547,215.18042755126953,3.2972451997834056,0
2024-08-19,224.41583251953125,224.51518597934856,221.58442566604344,224.2469437652095,40687800,-0.0007079214294862801,222.4686309814453,216.855615234375,2.2719853525390317,1
2024-08-20,225.03179931640625,225.68749582093912,223.97871925960482,224.2966382287883,30299000,0.002744756419186256,223.50979309082032,218.79483795166016,1.9244383032311367,0
2024-08-21,224.92250061035156,226.4921913011218,223.58131984717622,225.04172779494317,34765500,-0.00048570338230735643,224.43968200683594,220.46611785888672,0.7088123672296995,0
2024-08-22,223.0647125244141,226.84984597984075,222.43881906323927,226.30343225653021,43695300,-0.008259680916298584,224.4019317626953,221.6052993774414,0.7883466553877262,1
2024-08-23,225.3596343994141,226.73063334528243,222.866020162344,224.187342377279,38677300,0.010288143960685003,224.55889587402345,222.68321838378907,0.9013988104308787,1
2024-08-26,225.69740295410156,225.79675641202357,222.4288803537143,225.28014571740593,30602200,0.001498797935076679,224.8152099609375,223.6419204711914,1.0243688244501103,1
2024-08-27,226.5418701171875,227.35652605602343,223.4223624308928,224.52511915345738,35934600,0.003741590076061563,225.11722412109376,224.31350860595703,1.291869530527906,0
2024-08-28,225.0119171142578,228.35991942602843,224.20719049274723,226.43257756563742,38052200,-0.006753510960857967,225.135107421875,224.78739471435546,1.2891160531003774,1
2024-08-29,228.29037475585935,231.39995310375193,227.3863249726349,228.59836441740794,51906300,0.014570151144202681,226.18023986816405,225.29108581542968,1.309097834339541,0
2024-08-30,227.5055389404297,228.89639643358683,225.99545426270925,228.68777538921813,52990800,-0.003437883950512477,226.6094207763672,225.58415832519532,1.3244802372313227,0
2024-09-03,221.31619262695312,227.50553099413642,219.7266282681139,227.05847075546578,50190600,-0.027205255495327485,225.7331787109375,225.2741943359375,2.7551986563014923,0
2024-09-04,219.40872192382812,220.33264539565292,216.06070449558098,220.2134333758585,43840200,-0.008618757988215542,224.30654907226562,224.71188659667968,3.857877971583867,1
2024-09-05,220.92874145507812,224.00850159902006,220.07435325324454,220.1836359939166,36615400,0.006927799031515747,223.4899139404297,224.31251068115233,4.096048867684891,0
2024-09-06,219.37892150878903,223.7700744804958,218.33577084564575,222.4884846157397,48423000,-0.007015021839538282,221.70762329101564,223.94393157958984,3.357212394362239,1
2024-09-09,219.4683380126953,219.82598924771256,215.2957503769675,219.37892899374344,67180000,0.0004075893130084385,220.10018310546874,223.35480194091798,0.9437628373781392,0
2024-09-10,218.67355346679688,220.03460793809228,215.31560663834654,217.49131703149231,51591000,-0.0036214086874456486,219.5716552734375,222.6524169921875,0.8250208779634046,1
2024-09-11,221.2069091796875,221.63409569372266,216.46803428284608,220.01474349397893,44587100,0.011585103332009794,219.93129272460936,222.1189208984375,1.0866750176991882,1
2024-09-12,221.31619262695312,222.09110108310472,218.38544755210194,221.04795042006705,37455600,0.0004940327030058533,220.00878295898437,221.74934844970704,1.1849546894129215,0
2024-09-13,221.0479431152344,222.57788625371046,220.461797151476,222.12089674811224,36766600,-0.0012120645513312711,220.34258728027345,221.02510528564454,1.1981727988051118,0
2024-09-16,214.9082946777344,215.80241517960704,212.52394807405793,215.126845002842,59357400,-0.02777518917830124,219.43057861328126,219.765380859375,2.7545824315125764,1
2024-09-17,215.37521362304688,215.48449636527135,213.10016491936787,214.34200737227792,45519300,0.0021726427358825795,218.77091064453126,219.17128295898436,3.318432855830671,1
2024-09-18,219.2497711181641,221.25659276615585,216.12031904206836,216.13026348358338,59894900,0.017989802215117034,218.37948303222657,219.15538787841797,3.0650092612493713,1
2024-09-19,227.3763732910156,228.32018565098164,223.16405353373213,223.52170475455895,66781300,0.03706549900328837,219.59151916503907,219.8001510620117,5.063391655671534,0
2024-09-20,226.71075439453125,231.56884144729943,226.1345376792504,228.46920754640476,318679900,-0.002927388131186537,220.72408142089844,220.53333435058593,6.014577987025574,0
2024-09-23,224.99205017089844,227.95259834339626,224.33635371548323,225.8563676699032,54146000,-0.007581044085107069,222.74083251953124,221.08570556640626,5.21431563793087,1
2024-09-24,225.88616943359375,227.85325878901892,224.25687274556688,227.15781488965328,43556100,0.00397400380153945,224.84302368164063,221.80696716308594,3.251965346230816,0
